index_oligo,OHE_pos13_T
2994,1
2995,0
2996,0
2997,0
2998,0
2999,0
3000,0
3001,0
3002,0
3003,1
3004,0
3005,0
3006,1
3007,0
3008,0
3009,0
3010,0
3011,0
3012,1
3013,1
3014,0
3015,0
3016,0
3017,0
3018,1
3019,0
3020,0
3021,1
3022,1
3023,1
3024,0
3025,0
3026,0
3027,0
3028,1
3029,0
3030,0
3031,0
3032,1
3033,0
3034,0
3035,1
3036,0
3037,0
3038,0
3039,0
3040,0
3041,0
3042,0
3043,0
3044,0
3045,0
3046,1
3047,0
3048,0
3049,0
3050,0
3051,0
3052,1
3053,0
3054,0
3055,0
3056,0
3057,0
3058,0
3059,0
3060,0
3061,0
3062,0
3063,0
3064,0
3065,1
3066,0
3067,0
3068,0
3069,0
3070,0
3071,0
3072,0
3073,1
3074,0
3075,0
3076,0
3077,0
3078,0
3079,0
3080,0
3081,0
3082,0
3083,0
3084,0
3085,0
3086,0
3087,0
3088,0
3089,1
3090,0
3091,0
3092,1
3093,0
3094,0
3095,0
3096,0
3097,0
3098,0
3099,0
3100,1
3101,0
3102,0
3103,0
3104,1
3105,0
3106,0
3107,1
3108,1
3109,0
3110,1
3111,0
3112,0
3113,0
3114,0
3115,0
3116,0
3117,1
3118,0
3119,0
3120,1
3121,1
3122,0
3123,0
3124,1
3125,0
3126,1
3127,1
3128,0
3129,1
3130,1
3131,0
3132,1
3133,0
3134,1
3135,0
3136,0
3137,0
3138,1
3139,1
3140,0
3141,0
3142,1
3143,0
3144,1
3145,0
3146,0
3147,0
3148,0
3149,0
3150,0
3151,0
3152,0
3153,1
3154,1
3155,1
3156,0
3157,0
3158,0
3159,0
3160,0
3161,0
3162,1
3163,0
3164,0
3165,0
3166,1
3167,0
3168,0
3169,0
3170,0
3171,0
3172,0
3173,0
3174,0
3175,1
3176,0
3177,0
3178,0
3179,0
3180,0
3181,0
3182,0
3183,0
3184,0
3185,0
3186,1
3187,0
3188,0
3189,0
3190,0
3191,1
3192,1
3193,1
3194,1
3195,1
3196,1
3197,0
3198,0
3199,0
3200,0
3201,0
3202,0
3203,0
3204,0
3205,0
3206,1
3207,1
3208,1
3209,1
3210,0
3211,0
3212,0
3213,0
3214,0
3215,1
3216,0
3217,0
3218,0
3219,0
3220,0
3221,0
3222,0
3223,0
3224,0
3225,0
3226,1
3227,0
3228,1
3229,0
3230,1
3231,1
3232,1
3233,1
3234,0
3235,0
3236,0
3237,1
3238,0
3239,1
3240,0
3241,0
3242,0
3243,1
3244,0
3245,1
3246,0
3247,0
3248,0
3249,0
3250,1
3251,0
3252,0
3253,0
3254,1
3255,0
3256,0
3257,0
3258,1
3259,1
3260,0
3261,0
3262,1
3263,0
3264,1
3265,1
3266,1
3267,1
3268,0
3269,0
3270,1
3271,0
3272,0
3273,0
3274,1
3275,0
3276,1
3277,0
3278,0
3279,0
3280,0
3281,1
3282,0
3283,1
3284,1
3285,1
3286,0
3287,0
3288,0
3289,0
3290,0
3291,0
3292,0
3293,1
3294,0
3295,1
3296,0
3297,0
3298,0
3299,0
3300,0
3301,1
3302,0
3303,0
3304,0
3305,0
3306,0
3307,0
3308,1
3309,0
3310,0
3311,0
3312,0
3313,0
3314,0
3315,0
3316,0
3317,0
3318,1
3319,1
3320,0
3321,0
3322,0
3323,0
3324,0
3325,0
3326,0
3327,0
3328,0
3329,0
3330,0
3331,0
3332,0
3333,0
3334,0
3335,0
3336,0
3337,0
3338,0
3339,1
3340,0
3341,1
3342,1
3343,0
3344,0
3345,0
3346,0
3347,0
3348,0
3349,0
3350,0
3351,0
3352,0
3353,0
3354,0
3355,0
3356,0
3357,1
3358,0
3359,1
3360,0
3361,0
3362,0
3363,0
3364,0
3365,0
3366,0
3367,0
3368,0
3369,0
3370,1
3371,0
3372,0
3373,0
3374,1
3375,1
3376,1
3377,0
3378,0
3379,1
3380,1
3381,1
3382,1
3383,1
3384,1
3385,1
3386,0
3387,0
3388,1
3389,1
3390,0
3391,0
3392,0
3393,0
3394,0
3395,0
3396,0
3397,1
3398,0
3399,1
3400,0
3401,0
3402,0
3403,0
3404,0
3405,0
3406,0
3407,1
3408,0
3409,0
3410,0
3411,0
3412,0
3413,0
3414,0
3415,0
3416,0
3417,0
3418,1
3419,0
3420,0
3421,0
3422,0
3423,0
3424,0
3425,0
3426,1
3427,1
3428,0
3429,0
3430,0
3431,0
3432,1
3433,0
3434,0
3435,0
3436,0
3437,0
3438,0
3439,0
3440,0
3441,0
3442,0
3443,0
3444,0
3445,0
3446,0
3447,0
3448,0
3449,1
3450,0
3451,0
3452,0
3453,1
3454,0
3455,0
3456,0
3457,1
3458,0
3459,0
3460,0
3461,1
3462,0
3463,0
3464,1
3465,0
3466,0
3467,1
3468,0
3469,1
3470,0
3471,0
3472,1
3473,1
3474,0
3475,1
3476,0
3477,0
3478,0
3479,0
3480,0
3481,1
3482,0
3483,0
3484,0
3485,1
3486,0
3487,0
3488,1
3489,1
3490,1
3491,0
3492,0
3493,0
3494,0
3495,0
3496,0
3497,0
3498,1
3499,0
3500,0
3501,0
3502,1
3503,0
3504,1
3505,1
3506,0
3507,0
3508,0
3509,0
3510,1
3511,0
3512,0
3513,0
3514,0
3515,0
3516,0
3517,0
3518,0
3519,0
3520,0
3521,1
3522,0
3523,0
3524,0
3525,0
3526,0
3527,0
3528,1
3529,0
3530,0
3531,1
3532,1
3533,1
3534,0
3535,1
3536,0
3537,0
3538,1
3539,0
3540,0
3541,0
3542,1
3543,1
3544,0
3545,0
3546,0
3547,0
3548,0
3549,0
3550,0
3551,0
3552,0
3553,0
3554,0
3555,0
3556,0
3557,1
3558,1
3559,0
3560,0
3561,1
3562,1
3563,0
3564,0
3565,0
3566,0
3567,0
3568,0
3569,0
3570,0
3571,0
3572,1
3573,0
3574,1
3575,0
3576,1
3577,0
3578,0
3579,1
3580,0
3581,1
3582,0
3583,1
3584,1
3585,0
3586,1
3587,0
3588,1
3589,0
3590,0
3591,0
3592,0
3593,0
3594,1
3595,1
3596,0
3597,0
3598,0
3599,1
3600,1
3601,0
3602,0
3603,1
3604,0
3605,1
3606,0
3607,1
3608,0
3609,1
3610,0
3611,0
3612,0
3613,0
3614,0
3615,1
3616,0
3617,0
3618,1
3619,0
3620,1
3621,0
3622,0
3623,0
3624,0
3625,0
3626,0
3627,1
3628,1
3629,0
3630,0
3631,0
3632,1
3633,0
3634,0
3635,1
3636,0
3637,0
3638,0
3639,0
3640,0
3641,0
3642,1
3643,0
3644,0
3645,1
3646,0
3647,0
3648,0
3649,0
3650,0
3651,0
3652,0
3653,0
3654,0
3655,0
3656,0
3657,0
3658,0
3659,0
3660,0
3661,0
3662,0
3663,0
3664,0
3665,1
3666,0
3667,0
3668,0
3669,0
3670,0
3671,0
3672,0
3673,1
3674,0
3675,0
3676,0
3677,0
3678,0
3679,1
3680,1
3681,0
3682,0
3683,0
3684,1
3685,0
3686,0
3687,1
3688,0
3689,0
3690,1
3691,0
3692,0
3693,1
3694,0
3695,0
3696,0
3697,1
3698,0
3699,0
3700,0
3701,0
3702,0
3703,0
3704,0
3705,0
3706,0
3707,0
3708,0
3709,0
3710,0
3711,0
3712,1
3713,1
3714,1
3715,0
3716,1
3717,0
3718,0
3719,0
3720,0
3721,1
3722,0
3723,1
3724,0
3725,0
3726,1
3727,0
3728,0
3729,0
3730,1
3731,0
3732,1
3733,0
3734,0
3735,0
3736,0
3737,0
3738,1
3739,1
3740,0
3741,0
3742,0
3743,0
3744,0
3745,0
3746,0
3747,0
3748,0
3749,0
3750,0
3751,0
3752,1
3753,0
3754,1
3755,0
3756,1
3757,1
3758,0
3759,1
3760,0
3761,1
3762,0
3763,0
3764,0
3765,0
3766,0
3767,0
3768,0
3769,1
3770,1
3771,0
3772,0
3773,1
3774,0
3775,1
3776,0
3777,0
3778,0
3779,1
3780,0
3781,1
3782,0
3783,1
3784,0
3785,0
3786,0
3787,0
3788,0
3789,1
3790,1
3791,1
3792,1
3793,0
3794,0
3795,0
3796,0
3797,0
3798,1
3799,1
3800,1
3801,0
3802,0
3803,0
3804,0
3805,0
3806,1
3807,1
3808,1
3809,1
3810,0
3811,0
3812,0
3813,1
3814,0
3815,1
3816,0
3817,0
3818,0
3819,0
3820,1
3821,0
3822,0
3823,0
3824,1
3825,1
3826,1
3827,0
3828,1
3829,0
3830,0
3831,1
3832,0
3833,1
3834,0
3835,0
3836,0
3837,1
3838,0
3839,1
3840,1
3841,0
3842,0
3843,0
3844,1
3845,0
3846,1
3847,1
3848,0
3849,1
3850,0
3851,0
3852,0
3853,1
3854,0
3855,1
3856,1
3857,1
3858,1
3859,0
3860,0
3861,0
3862,0
3863,0
3864,1
3865,0
3866,1
3867,0
3868,0
3869,1
3870,0
3871,1
3872,0
3873,0
3874,0
3875,0
3876,0
3877,0
3878,0
3879,0
3880,1
3881,0
3882,0
3883,0
3884,1
3885,0
3886,0
3887,1
3888,0
3889,0
3890,0
3891,1
3892,1
3893,1
3894,1
3895,0
3896,0
3897,1
3898,0
3899,0
3900,1
3901,1
3902,0
3903,0
3904,0
3905,1
3906,0
3907,1
3908,0
3909,1
3910,1
3911,1
3912,1
3913,1
3914,1
3915,1
3916,0
3917,1
3918,0
3919,0
3920,0
3921,0
3922,1
3923,0
3924,0
3925,0
3926,0
3927,1
3928,1
3929,0
3930,1
3931,1
3932,1
3933,0
3934,0
3935,0
3936,0
3937,1
3938,1
3939,1
3940,1
3941,0
3942,0
3943,0
3944,0
3945,1
3946,0
3947,0
3948,0
3949,1
3950,0
3951,0
3952,1
3953,0
3954,0
3955,0
3956,0
3957,0
3958,1
3959,1
3960,0
3961,0
3962,1
3963,0
3964,1
3965,0
3966,0
3967,0
3968,1
3969,0
3970,0
3971,1
3972,1
3973,1
3974,1
3975,0
3976,0
3977,0
3978,0
3979,0
3980,0
3981,0
3982,0
3983,1
3984,1
3985,0
3986,0
3987,0
3988,1
3989,0
3990,0
3991,0
3992,1
3993,0
3994,0
3995,0
3996,0
3997,0
3998,0
3999,0
4000,0
4001,0
4002,1
4003,0
4004,1
4005,0
4006,1
4007,0
4008,1
4009,0
4010,0
4011,0
4012,0
4013,0
4014,1
4015,0
4016,0
4017,0
4018,0
4019,1
4020,0
4021,0
4022,0
4023,0
4024,0
4025,1
4026,1
4027,0
4028,0
4029,1
4030,0
4031,0
4032,0
4033,0
4034,0
4035,0
4036,0
4037,1
4038,1
4039,0
4040,1
4041,0
4042,0
4043,0
4044,1
4045,0
4046,0
4047,0
4048,0
4049,0
4050,1
4051,0
4052,0
4053,1
4054,0
4055,1
4056,1
4057,1
4058,0
4059,0
4060,0
4061,1
4062,0
4063,0
4064,0
4065,1
4066,1
4067,1
4068,0
4069,1
4070,1
4071,0
4072,0
4073,1
4074,0
4075,1
4076,1
4077,0
4078,1
4079,1
4080,0
4081,0
4082,1
4083,0
4084,0
4085,0
4086,0
4087,0
4088,0
4089,1
4090,0
4091,0
4092,0
4093,0
4094,0
4095,0
4096,1
4097,1
4098,0
4099,0
4100,0
4101,0
4102,0
4103,0
4104,0
4105,0
4106,1
4107,0
4108,0
4109,0
4110,0
4111,0
4112,0
4113,0
4114,0
4115,1
4116,0
4117,0
4118,1
4119,0
4120,1
4121,0
4122,0
4123,0
4124,0
4125,0
4126,0
4127,0
4128,0
4129,0
4130,0
4131,1
4132,0
4133,0
4134,1
4135,1
4136,0
4137,0
4138,0
4139,0
4140,0
4141,0
4142,1
4143,0
4144,0
4145,0
4146,0
4147,0
4148,0
4149,1
4150,1
4151,0
4152,0
4153,0
4154,0
4155,0
4156,0
4157,1
4158,0
4159,1
4160,0
4161,0
4162,0
4163,0
4164,1
4165,0
4166,1
4167,0
4168,1
4169,0
4170,0
4171,1
4172,0
4173,0
4174,1
4175,1
4176,1
4177,0
4178,0
4179,0
4180,0
4181,0
4182,0
4183,0
4184,1
4185,0
4186,0
4187,0
4188,0
4189,0
4190,0
4191,0
4192,0
4193,0
4194,1
4195,1
4196,0
4197,0
4198,1
4199,0
4200,1
4201,0
4202,0
4203,0
4204,1
4205,0
4206,1
4207,0
4208,0
4209,0
4210,0
4211,0
4212,0
4213,0
4214,1
4215,0
4216,0
4217,0
4218,0
4219,0
4220,0
4221,0
4222,0
4223,1
4224,0
4225,0
4226,0
4227,0
4228,0
4229,0
4230,1
4231,0
4232,0
4233,1
4234,0
4235,1
4236,0
4237,0
4238,0
4239,1
4240,1
4241,0
4242,0
4243,0
4244,0
4245,1
4246,1
4247,0
4248,0
4249,1
4250,0
4251,0
4252,0
4253,0
4254,0
4255,0
4256,1
4257,0
4258,0
4259,0
4260,1
4261,0
4262,0
4263,0
4264,0
4265,1
4266,0
4267,1
4268,0
4269,0
4270,0
4271,0
4272,0
4273,0
4274,1
4275,0
4276,0
4277,0
4278,1
4279,0
4280,0
4281,0
4282,0
4283,0
4284,0
4285,1
4286,0
4287,0
4288,1
4289,0
4290,0
4291,0
4292,1
4293,0
4294,0
4295,0
4296,0
4297,0
4298,0
4299,0
4300,0
4301,0
4302,1
4303,0
4304,0
4305,1
4306,0
4307,0
4308,1
4309,0
4310,0
4311,1
4312,0
4313,0
4314,1
4315,0
4316,0
4317,1
4318,0
4319,0
4320,1
4321,1
4322,1
4323,1
4324,0
4325,0
4326,0
4327,0
4328,0
4329,0
4330,0
4331,0
4332,0
4333,0
4334,0
4335,0
4336,0
4337,0
4338,0
4339,0
4340,0
4341,0
4342,0
4343,0
4344,0
4345,0
4346,0
4347,0
4348,1
4349,1
4350,0
4351,0
4352,0
4353,0
4354,0
4355,0
4356,0
4357,0
4358,0
4359,0
4360,0
4361,0
4362,0
4363,0
4364,0
4365,0
4366,0
4367,0
4368,0
4369,0
4370,0
4371,0
4372,0
4373,0
4374,1
4375,0
4376,0
4377,0
4378,0
4379,0
4380,1
4381,1
4382,1
4383,1
4384,0
4385,0
4386,1
4387,0
4388,0
4389,0
4390,1
4391,0
4392,0
4393,0
4394,0
4395,1
4396,0
4397,0
4398,0
4399,1
4400,0
4401,0
4402,0
4403,0
4404,0
4405,0
4406,0
4407,0
4408,0
4409,0
4410,1
4411,0
4412,0
4413,0
4414,0
4415,0
4416,0
4417,0
4418,1
4419,0
4420,1
4421,0
4422,0
4423,0
4424,0
4425,0
4426,0
4427,0
4428,0
4429,0
4430,1
4431,0
4432,0
4433,0
4434,0
4435,0
4436,0
4437,1
4438,0
4439,0
4440,0
4441,0
4442,1
4443,0
4444,0
4445,0
4446,0
4447,0
4448,0
4449,0
4450,0
4451,1
4452,0
4453,1
4454,1
4455,0
4456,0
4457,0
4458,0
4459,0
4460,0
4461,0
4462,0
4463,0
4464,0
4465,0
4466,0
4467,0
4468,1
4469,0
4470,1
4471,0
4472,0
4473,1
4474,0
4475,0
4476,0
4477,0
4478,1
4479,0
4480,1
4481,0
4482,0
4483,0
4484,0
4485,0
4486,0
4487,0
4488,0
4489,0
4490,0
4491,0
4492,0
4493,0
4494,0
4495,0
4496,0
4497,0
4498,0
4499,0
4500,0
4501,0
4502,0
4503,0
4504,0
4505,0
4506,0
4507,0
4508,0
4509,0
4510,0
4511,1
4512,0
4513,0
4514,0
4515,0
4516,1
4517,1
4518,0
4519,0
4520,0
4521,0
4522,1
4523,0
4524,0
4525,0
4526,1
4527,1
4528,0
4529,0
4530,0
4531,0
4532,0
4533,0
4534,0
4535,0
4536,0
4537,1
4538,1
4539,0
4540,0
4541,0
4542,0
4543,1
4544,0
4545,0
4546,0
4547,0
4548,0
4549,1
4550,0
4551,0
4552,0
4553,0
4554,0
4555,0
4556,0
4557,0
4558,0
4559,0
4560,0
4561,1
4562,0
4563,1
4564,0
4565,0
4566,0
4567,0
4568,0
4569,0
4570,0
4571,0
4572,0
4573,1
4574,0
4575,0
4576,0
4577,1
4578,0
4579,1
4580,1
4581,0
4582,0
4583,0
4584,0
4585,1
4586,0
4587,0
4588,0
4589,1
4590,0
4591,0
4592,1
4593,0
4594,0
4595,1
4596,0
4597,1
4598,1
4599,0
4600,0
4601,1
4602,0
4603,1
4604,0
4605,0
4606,0
4607,0
4608,1
4609,0
4610,0
4611,0
4612,0
4613,0
4614,0
4615,0
4616,1
4617,0
4618,0
4619,0
4620,1
4621,0
4622,1
4623,1
4624,0
4625,0
4626,0
4627,0
4628,0
4629,0
4630,0
4631,0
4632,1
4633,0
4634,1
4635,0
4636,1
4637,0
4638,0
4639,0
4640,1
4641,1
4642,0
4643,1
4644,0
4645,1
4646,0
4647,1
4648,1
4649,0
4650,0
4651,1
4652,0
4653,1
4654,0
4655,0
4656,1
4657,0
4658,0
4659,0
4660,0
4661,0
4662,0
4663,0
4664,0
4665,0
4666,0
4667,0
4668,0
4669,0
4670,1
4671,1
4672,1
4673,0
4674,1
4675,0
4676,1
4677,0
4678,1
4679,0
4680,0
4681,0
4682,0
4683,0
4684,0
4685,1
4686,1
4687,0
4688,1
4689,1
4690,0
4691,0
4692,0
4693,0
4694,0
4695,1
4696,1
4697,1
4698,0
4699,1
4700,0
4701,1
4702,0
4703,1
4704,0
4705,0
4706,0
4707,0
4708,1
4709,1
4710,0
4711,0
4712,0
4713,0
4714,1
4715,0
4716,0
4717,0
4718,1
4719,0
4720,0
4721,0
4722,0
4723,0
4724,1
4725,1
4726,1
4727,0
4728,0
4729,0
4730,0
4731,0
4732,0
4733,0
4734,0
4735,0
4736,0
4737,0
4738,1
4739,0
4740,0
4741,0
4742,0
4743,1
4744,0
4745,0
4746,0
4747,0
4748,0
4749,0
4750,0
4751,0
4752,0
4753,0
4754,0
4755,0
4756,0
4757,0
4758,0
4759,1
4760,1
4761,1
4762,0
4763,0
4764,0
4765,0
4766,1
4767,0
4768,0
4769,0
4770,0
4771,1
4772,1
4773,0
4774,0
4775,0
4776,0
4777,0
4778,0
4779,0
4780,0
4781,1
4782,0
4783,0
4784,0
4785,1
4786,0
4787,0
4788,1
4789,0
4790,0
4791,0
4792,1
4793,0
4794,0
4795,0
4796,1
4797,0
4798,1
4799,1
4800,0
4801,1
4802,1
4803,0
4804,0
4805,0
4806,1
4807,0
4808,0
4809,0
4810,0
4811,0
4812,0
4813,1
4814,1
4815,0
4816,1
4817,1
4818,1
4819,0
4820,0
4821,0
4822,0
4823,0
4824,0
4825,0
4826,0
4827,1
4828,0
4829,0
4830,0
4831,1
4832,0
4833,0
4834,0
4835,0
4836,0
4837,0
4838,1
4839,0
4840,1
4841,0
4842,1
4843,0
4844,0
4845,0
4846,1
4847,0
4848,1
4849,1
4850,1
4851,1
4852,0
4853,0
4854,0
4855,0
4856,1
4857,0
4858,0
4859,1
4860,1
4861,1
4862,0
4863,0
4864,1
4865,0
4866,0
4867,0
4868,0
4869,0
4870,0
4871,0
4872,1
4873,1
4874,1
4875,1
4876,0
4877,0
4878,1
4879,0
4880,0
4881,0
4882,1
4883,0
4884,1
4885,0
4886,1
4887,1
4888,0
4889,0
4890,0
4891,0
4892,0
4893,0
4894,0
4895,0
4896,1
4897,0
4898,0
4899,0
4900,0
4901,0
4902,0
4903,1
4904,1
4905,1
4906,0
4907,0
4908,0
4909,0
4910,0
4911,1
4912,1
4913,0
4914,0
4915,1
4916,0
4917,0
4918,0
4919,0
4920,0
4921,1
4922,0
4923,1
4924,1
4925,0
4926,1
4927,0
4928,0
4929,0
4930,0
4931,0
4932,0
4933,0
4934,0
4935,0
4936,0
4937,0
4938,0
4939,1
4940,0
4941,0
4942,0
4943,0
4944,1
4945,0
4946,0
4947,0
4948,0
4949,1
4950,0
4951,0
4952,1
4953,0
4954,1
4955,0
4956,0
4957,0
4958,0
4959,1
4960,0
4961,1
4962,1
4963,0
4964,0
4965,0
4966,1
4967,0
4968,0
4969,1
4970,1
4971,0
4972,1
4973,0
4974,0
4975,0
4976,0
4977,0
4978,1
4979,0
4980,1
4981,0
4982,0
4983,1
4984,0
4985,0
4986,0
4987,1
4988,0
4989,0
4990,0
4991,1
4992,0
4993,0
4994,0
4995,0
4996,0
4997,1
4998,0
4999,1
5000,0
5001,1
5002,0
5003,0
5004,0
5005,0
5006,1
5007,0
5008,0
5009,0
5010,1
5011,0
5012,0
5013,0
5014,0
5015,0
5016,0
5017,1
5018,1
5019,0
5020,0
5021,0
5022,0
5023,0
5024,1
5025,0
5026,0
5027,0
5028,0
5029,1
5030,1
5031,0
5032,1
5033,1
5034,1
5035,1
5036,0
5037,0
5038,0
5039,0
5040,1
5041,0
5042,0
5043,1
5044,0
5045,0
5046,0
5047,1
5048,0
5049,1
5050,1
5051,1
5052,0
5053,0
5054,0
5055,1
5056,0
5057,0
5058,1
5059,0
5060,1
5061,0
5062,0
5063,1
5064,0
5065,1
5066,0
5067,1
5068,0
5069,0
5070,0
5071,0
5072,0
5073,0
5074,0
5075,0
5076,0
5077,0
5078,0
5079,0
5080,1
5081,0
5082,0
5083,0
5084,0
5085,0
5086,0
5087,0
5088,0
5089,0
5090,0
5091,0
5092,0
5093,0
5094,0
5095,1
5096,1
5097,1
5098,0
5099,0
5100,0
5101,0
5102,0
5103,1
5104,1
5105,0
5106,0
5107,0
5108,1
5109,0
5110,1
5111,0
5112,0
5113,0
5114,1
5115,0
5116,0
5117,0
5118,1
5119,0
5120,0
5121,1
5122,0
5123,1
5124,0
5125,0
5126,0
5127,0
5128,1
5129,0
5130,0
5131,0
5132,0
5133,0
5134,0
5135,1
5136,1
5137,1
5138,0
5139,0
5140,0
5141,0
5142,0
5143,0
5144,0
5145,1
5146,0
5147,1
5148,0
5149,0
5150,1
5151,1
5152,0
5153,0
5154,1
5155,1
5156,0
5157,0
5158,0
5159,1
5160,1
5161,1
5162,0
5163,0
5164,0
5165,0
5166,0
5167,0
5168,0
5169,0
5170,0
5171,0
5172,1
5173,0
5174,0
5175,1
5176,1
5177,1
5178,1
5179,0
5180,0
5181,1
5182,0
5183,0
5184,0
5185,0
5186,1
5187,1
5188,0
5189,1
5190,1
5191,0
5192,0
5193,0
5194,1
5195,0
5196,0
5197,0
5198,0
5199,0
5200,1
5201,1
5202,1
5203,1
5204,0
5205,0
5206,1
5207,1
5208,0
5209,0
5210,0
5211,0
5212,0
5213,1
5214,0
5215,0
5216,0
5217,0
5218,0
5219,0
5220,0
5221,0
5222,0
5223,0
5224,0
5225,1
5226,0
5227,0
5228,1
5229,0
5230,0
5231,0
5232,0
5233,1
5234,0
5235,0
5236,0
5237,1
5238,0
5239,1
5240,1
5241,0
5242,0
5243,1
5244,0
5245,1
5246,1
5247,1
5248,1
5249,0
5250,0
5251,0
5252,0
5253,1
5254,0
5255,1
5256,0
5257,1
5258,0
5259,0
5260,0
5261,0
5262,1
5263,1
5264,0
5265,0
5266,0
5267,0
5268,0
5269,1
5270,0
5271,0
5272,0
5273,1
5274,1
5275,0
5276,0
5277,0
5278,0
5279,0
5280,0
5281,1
5282,0
5283,0
5284,0
5285,0
5286,1
5287,0
5288,0
5289,0
5290,0
5291,1
5292,1
5293,0
5294,0
5295,0
5296,1
5297,1
5298,1
5299,0
5300,0
5301,1
5302,0
5303,0
5304,0
5305,0
5306,0
5307,0
5308,1
5309,0
5310,1
5311,0
5312,0
5313,0
5314,0
5315,0
5316,1
5317,1
5318,0
5319,0
5320,1
5321,0
5322,0
5323,0
5324,0
5325,0
5326,0
5327,0
5328,1
5329,0
5330,0
5331,1
5332,0
5333,0
5334,0
5335,0
5336,0
5337,0
5338,0
5339,0
5340,0
5341,0
5342,1
5343,0
5344,0
5345,0
5346,0
5347,0
5348,0
5349,1
5350,1
5351,1
5352,0
5353,1
5354,0
5355,0
5356,0
5357,0
5358,1
5359,0
5360,0
5361,0
5362,0
5363,1
5364,0
5365,0
5366,0
5367,0
5368,0
5369,0
5370,0
5371,1
5372,0
5373,1
5374,0
5375,0
5376,1
5377,0
5378,0
5379,0
5380,1
5381,0
5382,0
5383,0
5384,0
5385,0
5386,0
5387,1
5388,1
5389,1
5390,0
5391,1
5392,0
5393,0
5394,0
5395,0
5396,1
5397,0
5398,0
5399,0
5400,0
5401,1
5402,0
5403,0
5404,0
5405,0
5406,0
5407,0
5408,0
5409,1
5410,0
5411,1
5412,0
5413,0
5414,1
5415,1
5416,0
5417,0
5418,1
5419,1
5420,1
5421,0
5422,0
5423,0
5424,0
5425,1
5426,0
5427,0
5428,1
5429,0
5430,0
5431,0
5432,1
5433,0
5434,0
5435,0
5436,0
5437,0
5438,1
5439,0
5440,0
5441,0
5442,0
5443,0
5444,0
5445,0
5446,0
5447,0
5448,0
5449,0
5450,1
5451,0
5452,0
5453,0
5454,0
5455,1
5456,1
5457,0
5458,0
5459,0
5460,1
5461,0
5462,1
5463,1
5464,1
5465,0
5466,0
5467,0
5468,1
5469,0
5470,0
5471,1
5472,0
5473,1
5474,0
5475,0
5476,0
5477,0
5478,1
5479,0
5480,0
5481,0
5482,0
5483,0
5484,1
5485,1
5486,1
5487,0
5488,0
5489,0
5490,0
5491,0
5492,1
5493,0
5494,0
5495,0
5496,0
5497,0
5498,0
5499,0
5500,0
5501,0
5502,0
5503,0
5504,0
5505,1
5506,1
5507,1
5508,0
5509,0
5510,1
5511,1
5512,0
5513,0
5514,0
5515,0
5516,1
5517,1
5518,0
5519,0
5520,1
5521,0
5522,1
5523,1
5524,0
5525,0
5526,0
5527,0
5528,1
5529,1
5530,0
5531,0
5532,0
5533,0
5534,0
5535,0
5536,0
5537,0
5538,0
5539,0
5540,0
5541,0
5542,0
5543,0
5544,0
5545,0
5546,0
5547,0
5548,0
5549,0
5550,0
5551,0
5552,1
5553,0
5554,0
5555,0
5556,0
5557,0
5558,0
5559,1
5560,0
5561,0
5562,0
5563,0
5564,0
5565,1
5566,0
5567,1
5568,0
5569,0
5570,0
5571,0
5572,1
5573,1
5574,0
5575,1
5576,0
5577,0
5578,1
5579,0
5580,1
5581,0
5582,0
5583,0
5584,1
5585,0
5586,0
5587,0
5588,0
5589,1
5590,1
5591,0
5592,1
5593,0
5594,0
5595,1
5596,1
5597,0
5598,1
5599,0
5600,0
5601,1
5602,0
5603,0
5604,0
5605,1
5606,0
5607,0
5608,1
5609,0
5610,0
5611,0
5612,0
5613,0
5614,1
5615,1
5616,0
5617,0
5618,0
5619,0
5620,0
5621,0
5622,1
5623,0
5624,0
5625,1
5626,0
5627,0
5628,0
5629,0
5630,0
5631,0
5632,0
5633,0
5634,0
5635,0
5636,0
5637,0
5638,0
5639,0
5640,0
5641,0
5642,0
5643,0
5644,0
5645,0
5646,1
5647,1
5648,0
5649,0
5650,0
5651,0
5652,0
5653,1
5654,0
5655,0
5656,0
5657,0
5658,0
5659,1
5660,0
5661,0
5662,0
5663,0
5664,0
5665,0
5666,0
5667,1
5668,0
5669,0
5670,1
5671,0
5672,0
5673,0
5674,1
5675,0
5676,0
5677,0
5678,0
5679,0
5680,0
5681,1
5682,0
5683,0
5684,0
5685,0
5686,0
5687,0
5688,0
5689,0
5690,0
5691,0
5692,1
5693,1
5694,1
5695,0
5696,1
5697,0
5698,0
5699,1
5700,1
5701,1
5702,0
5703,1
5704,0
5705,0
5706,1
5707,1
5708,1
5709,1
5710,0
5711,0
5712,0
5713,1
5714,0
5715,0
5716,0
5717,0
5718,0
5719,0
5720,0
5721,0
5722,0
5723,0
5724,0
5725,0
5726,1
5727,0
5728,0
5729,0
5730,0
5731,0
5732,0
5733,0
5734,1
5735,1
5736,0
5737,0
5738,0
5739,0
5740,0
5741,1
5742,0
5743,1
5744,0
5745,0
5746,1
5747,0
5748,1
5749,0
5750,1
5751,0
5752,0
5753,0
5754,1
5755,1
5756,1
5757,0
5758,0
5759,1
5760,0
5761,0
5762,0
5763,0
5764,0
5765,0
5766,0
5767,0
5768,0
5769,0
5770,0
5771,0
5772,0
5773,0
5774,0
5775,0
5776,0
5777,0
5778,0
5779,0
5780,0
5781,0
5782,1
5783,0
5784,0
5785,0
5786,0
5787,0
5788,0
5789,0
